count,hate_speech,offensive_language,neither,class,tweet,tweet_length,cleaned_tweet,preprocessed_tweet,label
3,0,0,3,Neither,Charlie Jacobs got confused about the ice bucket challenge and instead dumped a bucket of diamonds on his head.,111,charlie jacobs got confused about the ice bucket challenge and instead dumped a bucket of diamonds on his head,charlie jacob got confused ice bucket challenge instead dumped bucket diamond head,2
3,0,3,0,Offensive Language,"@JuanNDaCut @ShareA40Ounce she playin pussy hole bingo.
She drawing the next number",83,she playin pussy hole bingo she drawing the next number,playin pussy hole bingo drawing next number,1
3,1,2,0,Offensive Language,I be telling Mcgirt music ain't enough.You gotta have a non music related agenda.Them crackers want to sell something with your face.,133,i be telling mcgirt music aint enoughyou got to have a non music related agendathem crackers want to sell something with your face,telling mcgirt music aint enoughyou got non music related agendathem cracker want sell something face,1
3,0,1,2,Neither,"@IHateStevenSing
I ain't to show bout dem colored diamonds you talk about on da radio. 
Any diamond you gets from a colored be stolen",133,i aint to show bout dem colored diamonds you talk about on da radio any diamond you gets from a colored be stolen,aint show bout dem colored diamond talk da radio diamond get colored stolen,2
3,0,3,0,Offensive Language,RT @blessedarti: Y'all claim you want a good &amp; loyal girl but keep messing with hoes like I'm confused,106,yall claim you want a good amp loyal girl but keep messing with hoes like im confused,yall claim want good amp loyal girl keep messing hoe like im confused,1
3,0,3,0,Offensive Language,Thats not ya bitch if she dont love giving you head,51,thats not ya bitch if she dont love giving you head,thats ya bitch dont love giving head,1
3,0,3,0,Offensive Language,Yall couldn't wAit till Halloween to dress up like hoes,55,yall couldnt wait till halloween to dress up like hoes,yall couldnt wait till halloween dress like hoe,1
3,0,3,0,Offensive Language,"&#8220;@Thatindianbruh: Food &gt; Pussy 

but pussy = Food 

so food &#8805; pussy.&#8221; http://t.co/ZJ3zyduxkO",113,food gt pussy but pussy food so food pussy,food gt pussy pussy food food pussy,1
3,0,3,0,Offensive Language,RT @CockyBelichick: Time for the comeback pussies. #kisstherings,64,time for the comeback pussies kisstherings,time comeback pussy kisstherings,1
3,1,2,0,Offensive Language,RT @ruckin_andrew: This bitch has a death grip on this niggas balls. Smh http://t.co/uh6OSApcMw,95,this bitch has a death grip on this niggas balls smh,bitch death grip nigga ball smh,1
3,0,3,0,Offensive Language,"I don't focus on bitches, bitches focus on me. #trenttruce 
Photography by patrickos http://t.co/steiM7i09p",107,i dont focus on bitches bitches focus on me trenttruce photography by patrickos,dont focus bitch bitch focus trenttruce photography patrickos,1
3,0,0,3,Neither,Watching #Steelers colts getting blinded by the Steelers uniys look like bunch of bumblebees,92,watching steelers colts getting blinded by the steelers uniys look like bunch of bumblebees,watching steelers colt getting blinded steelers uniys look like bunch bumblebee,2
